,Unnamed: 0,model,sim,additional_data,3G,4G,5G,Wi-Fi,VoLTE,Vo5G,NFC,extra_conecctions
510,510,Vivo Y15s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
511,511,Samsung Galaxy M32 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
518,518,Samsung Galaxy M13 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
521,521,iQOO Z6 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
522,522,OPPO A76,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
524,524,Vivo Y01,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
528,528,Vivo Y73 2021,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
529,529,Samsung Galaxy F14,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
530,530,Vivo V20,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
531,531,Xiaomi Redmi Note 9 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
533,533,Itel MagicX Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
536,536,Nokia C31,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
537,537,Infinix Hot 12 Pro (8GB RAM+ 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
538,538,Poco M5,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
539,539,Xiaomi Redmi 10C (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
542,542,OPPO K10 (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
543,543,Huawei Nova 9 SE,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
551,551,itel Magic 2 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
553,553,Xiaomi Redmi Note 10 Pro Max (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
555,555,Realme 8,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
556,556,Samsung Galaxy S20,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
558,558,Motorola Moto E32s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
562,562,OPPO A16e (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
563,563,POCO M4 Pro 4G (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
564,564,Realme Narzo 50A,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
571,571,Xiaomi Redmi Note 9 Pro Max,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
572,572,Samsung Galaxy A52,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
574,574,Vivo Y71,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
575,575,Lyf C459,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
576,576,Samsung Galaxy A04e (3GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
578,578,Oppo Reno 8T 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
581,581,OPPO A77 (4GB RAM + 128 GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
586,586,Nokia G21 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
587,587,Samsung Galaxy A13 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
588,588,OPPO A16K (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
589,589,Xiaomi Redmi 10C,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
590,590,Tecno Spark 9 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
